company,address,telephone
Abaco Viaggi S.a.s. di Padovani Nevio & C.,"Piazza Repubblica, 97 - 30026 Portogruaro (VE)",0421 72118
Bluvacanze c/o Adriatico 2,"Via Prati Guori, 29 - 30026 Portogruaro (VE)",0421 280335
Bluvacanze S.p.a.,Via Prato Guori - 30026 Portogruaro (VE),0421 282330
Dotta Viaggi S.n.c. I Dotta Marco & C.,"Via Risere, 13 - 30026 Portogruaro (VE)","0421 274310



340 7682670"
Gea Tour Societa' a Responsabilita' Limitata Semplificata,"Via Prati Guori, 36/A - 30026 Portogruaro (VE)",0421 576603
Tvo S.r.l.,"Borgo San Gottardo, 55 - 30026 Portogruaro (VE)",0421 577968
Zamparo Massimo,"Via Manin Daniele, 11 - 30026 Portogruaro (VE)","0421 71932



0421 73792"
Agriturismo da Meni,"25, Via Staimbek - 30026 Portogruaro (VE)",347 0707593
Ca' Menego,"Via Risere, 7 - 30026 Portogruaro (VE)",0421 205247
Fidi Impresa & Turismo Veneto Soc. Coop. P.A.,"Borgo S. Agnese, 91/93 - 30026 Portogruaro (VE)",0421 278321
Fidi Impresa & Turismo Veneto Soc. Coop. P.A.,91/93 Brogo S. Agnese - 30026 Portogruaro (VE),041 5322554
Ministero dei Beni e delle Attivita' Culturali e del Turismo - Polo Museale del Veneto,Via Seminario - 30026 Portogruaro (VE),0421 72674
Ministero dei Beni e delle Attivita' Culturali e del Turismo - Soprintendenza per I Beni Archeologici del Veneto,"Via Seminario, 26 - 30026 Portogruaro (VE)",0421 72674
Uvet Viaggi Turismo S.p.a.,"Borgo Sant'Agnese, 42 - 30026 Portogruaro (VE)","0421 271657



0421 770217"
Busolin Antonio e Domenico,"Via Alta, 48 - 30026 Pradipozzo (VE)",347 2705925
Ministero dei Beni e delle Attivita' Culturali e del Turismo - Polo Museale del Veneto,"Piazza Cardinale Celso Costantini, 1 - 30023 Concordia Sagittaria (VE)",0421 275677
Ministero dei Beni e delle Attivita' Culturali e del Turismo - Soprintendenza per I Beni Archeologici del Veneto,"Via Claudia, 395 - 30023 Concordia Sagittaria (VE)",0421 271578
Agriturismo Ca’ dei Molini,"Via Trieste, 20/A - 30020 Gruaro (VE)",392 0099313
Le 3 Rose,"Via Bandida, 30 - 30020 Cinto Caomaggiore (VE)","339 8949625



339 8949626"
Airzoone S.r.l.,"Via Levada, 43 - 33079 Sesto al Reghena (PN)","335 6395037



348 8058220"
Taganka Tour,"Via Gorizia, 26 - 30025 Fossalta di Portogruaro (VE)",348 3300573
Azienda Agricola Andreana,"Via Vittorio Veneto, 55 - 33083 Chions (PN)","0434 630316



0434 630087"
Agriturismo Da Pieri,"Via Onelli, 2 - 30020 Cinto Caomaggiore (VE)",333 1839409
